序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
2717,毬果門,松綱,松杉目,羅漢松科,羅漢松屬,小葉羅漢松,"葉與大葉羅漢松者相似，但葉寬3-7 mm，先端銳尖至漸尖，可與之區別。 常綠小喬木，葉線形、披針形，長4~8cm，先端銳或略鈍，基部漸狹窄。雄花毬穗狀，殆無梗，3至5簇生葉腋。雌花梗長5~11mm，單生葉腋。種托肉質，長8~9mm，熟時鮮紅色。種實闊橢圓形，徑6~8mm。",海岸山脈及花蓮近海之山區，與闊葉樹混生。
2718,毬果門,松綱,松杉目,羅漢松科,羅漢松屬,大葉羅漢松,"葉線形，寬7-10 mm，先端銳尖，極少圓，基部漸尖。雄球花3-5個簇生。",恆春半島與蘭嶼森林中。
2719,毬果門,松綱,松杉目,羅漢松科,羅漢松屬,叢花百日青,葉線狀橢圓形或線狀披針形，兩端漸尖，前端之端點尖銳。雄球花有柄。,中央山脈中海拔森林中。
2720,毬果門,松綱,松杉目,羅漢松科,,清水圓柏,灌木，幹匍匐。葉有刺形葉和鱗片葉兩型或全為鱗片葉。,"特有種。限於花蓮清水山和嵐山近2,200 m的石灰岩礫石地。"
2721,毬果門,松綱,紅豆杉目,紅豆杉科,穗花杉屬,台灣穗花杉,"科特徵－ 常綠小喬木。葉對生，線狀橢圓形或披針形，下表面中脈兩側各有1白色氣孔帶。雌雄異株；雄球花數個排成穗狀，數個穗狀花序簇生於枝頂，小孢子葉盾狀，有4-5個花葯。雌球花單生，有一彎曲之柄；胚珠單生於球花頂之中央，下方有6-10對苞片。種子核果狀，長橢圓形，由紅色假種皮包圍。 種特徵－ 葉披針形或披針狀橢圓形，常微彎成鐮刀狀，上表面深綠色，下表面中脈每側白色氣孔帶之寬約為綠色部分者之2倍。",台東大漢山，新化農場至屏東茶茶牙賴一帶山區之闊葉林中。
2722,毬果門,松綱,紅豆杉目,紅豆杉科,紅豆杉屬,南洋紅豆杉,"科特徵－ 喬木。葉線形，扁平，螺旋排列於小枝上，扭成不規則之2列，下表面氣孔帶淡黃綠色。雌雄異株；雄球花單一，腋生，小孢子葉6-14片，每片有3-6個花粉囊；雌球花1，腋生，胚珠1，頂生於花軸上，被圍於杯形珠托內。種子堅果狀，包於紅色肉質假種皮內。 種特徵－ 喬木。葉線形，扁平，偶爾略彎，前後幾等寬，上表面綠，下表面中脈每側有一淡黃綠色氣孔帶。種子包於杯狀之紅色肉質假種皮內。 常綠大喬木，樹皮紅褐色，不規則片狀剝落。葉線狀披針形，略鐮狀，長1.2~2.7cm，先端短漸尖，有尖頭，基部下延狀，背面氣孔",散生於中海拔山區之針或闊葉林中。
2723,石松門,石松綱,卷柏目,卷柏科,卷柏屬,萬年松,植株直立、緊密叢生，形成幹狀構造，主軸上的小葉排列緊密，且和分支同，孢子囊穗四面體形。,分布亞洲地區，臺灣全省中低海拔地區可見。
2724,石松門,石松綱,卷柏目,卷柏科,卷柏屬,全緣卷柏,主莖直立，30~50cm高，主軸側枝上的枝條羽狀排列，主軸上小葉稀疏，末四排並列，孢子囊穗四面體形。,分布中國大陸、馬來亞、緬甸、菲律賓，臺灣全省低海拔山區常見。
2725,石松門,石松綱,卷柏目,卷柏科,卷柏屬,狹葉卷柏,直立，基部分枝，成叢。孢子囊穗寬，明顯腹背性。,主要分布中北部低海拔地區。
2726,石松門,石松綱,卷柏目,卷柏科,卷柏屬,疏葉卷柏,匍匐性，無明顯主莖，小葉疏鬆，主軸上四列小葉不並排，孢子囊穗四面體形。,分布日本、中國大陸、菲律賓、印尼、馬來亞，臺灣則見於中海拔山區。
2727,石松門,石松綱,卷柏目,卷柏科,卷柏屬,日本卷柏,營養葉匍匐，直立枝上才有孢子葉，孢子囊穗疏鬆，孢子囊穗頂生於直立枝末端。,分布日本、中國大陸，在臺灣僅見於南投溪頭。
2728,石松門,石松綱,卷柏目,卷柏科,卷柏屬,異葉卷柏,主莖直立，約55cm高，主軸上的小葉貼伏莖上，四列小葉不並排，孢子囊穗四面體形。,分布中國大陸、日本、菲律賓，臺灣全省低海拔山區可見。
2729,石松門,石松綱,卷柏目,卷柏科,卷柏屬,膜葉卷柏,直立，基部分支多，成叢狀。孢子囊穗窄，近四面體型。,主要分布在台灣中北部低海拔地區。
2730,石松門,石松綱,卷柏目,卷柏科,卷柏屬,玉山卷柏,直立，具明顯柄狀構造，孢子囊穗近四面體。,分布中國大陸及臺灣，中海拔山區可見。
2731,石松門,石松綱,卷柏目,卷柏科,卷柏屬,密葉卷柏,主莖直立，約40cm高，主軸上的小葉貼伏莖上，四列小葉不並排。,分布韓國、日本、琉球、印度、中國大陸，臺灣全省低海拔山區有之。
2732,石松門,石松綱,卷柏目,卷柏科,卷柏屬,姬卷柏,無明顯主軸，營養葉排列疏鬆。孢子囊穗卵圓形、不分枝，或長條型、具分枝，具腹背性，轉置。,分布日本、中國，臺灣低海拔山區可見，數量稀少。
2733,石松門,石松綱,卷柏目,卷柏科,卷柏屬,高雄卷柏,主莖直立，8~30cm高，散生，主軸上的小葉排列緊密，和分支同，孢子囊穗四面體形。,分布印度、爪哇、菲律賓、中國大陸和琉球等地，臺灣中南部低海拔地區可見。
2734,石松門,石松綱,卷柏目,卷柏科,卷柏屬,緣毛卷柏,植株極小，小葉具緣毛，孢子囊穗頂生，具腹背性。,分布中國、菲律賓、印度、澳洲，臺灣在低海拔地區可見。
2735,石松門,石松綱,卷柏目,卷柏科,卷柏屬,小笠原卷柏,植株貼伏地面，分枝短，小葉多少重疊，葉緣具有緣毛，葉基心形。孢子囊穗具腹背性。,分布菲律賓，臺灣在中南部低海拔成熟林中可見。
2736,石松門,石松綱,卷柏目,卷柏科,卷柏屬,生根卷柏,植株匍匐，但不貼於地面，以根支體(rhizophore)支撐。主軸分支多次，小葉排列情形和分枝同，孢子囊穗四面體形。,分布日本、中國大陸、琉球，臺灣在低海拔地區常見。
2737,石松門,石松綱,卷柏目,卷柏科,卷柏屬,擬密葉卷柏,主莖直立，主軸上的小葉貼伏莖上，四列小葉不並排，孢子囊穗四面體形。,分布蒙古、韓國、中國大陸，在台灣見於中低海拔山區。
2738,石松門,石松綱,石松目,石松科,石松屬,千層塔,地生，直立，植株高約8~20cm，基部小葉多少向外(非向上)，葉緣鋸齒。,分佈於日本、中國大陸、菲律賓、印度，在台灣中北部中海　拔山區可見。
2739,石松門,石松綱,石松目,石松科,石松屬,鱗葉石松,著生性，植株約30cm長，具分枝，小葉長1.5cm，葉尖朝上，孢子葉和營養葉等大。,分布中國大陸、日本、琉球，臺灣則見於北部中低海拔山區。
2740,石松門,石松綱,石松目,石松科,石松屬,相馬氏石松,"地生，直立，植株高約 4~8cm ，有分枝，基部小葉多少朝外　反折。",分布北溫帶及熱帶高山，多見於高海拔山區。
2741,石松門,石松綱,石松目,石松科,石松屬,杉葉石松,著生性，營養枝分支1~2次，基部小葉明顯反折，中段小葉則朝外，孢子葉和營養葉大小相近。,分布熱帶亞洲，全省中低拔山區可見。
2742,石松門,石松綱,石松目,石松科,石松屬,玉山石松,"地生性，主莖匍匐於地表面，直立莖圓柱狀，分支多次。植株高4~8cm，每一柄具1~2個孢子囊穗。   地生性蕨類，主莖匍匐於地表面，葉披針形，螺旋狀著生莖上，較假石松稀疏，且其直立莖每一柄僅具1-2個孢子囊穗，與假石松甚易區別。性喜陽光，於岩屑地及玉山箭竹草生地全年可見。",分布中國西部，在臺灣則見於高海拔地區。
2743,石松門,石松綱,石松目,石松科,石松屬,小垂枝石松,著生性，植株下垂，30cm以上，小葉有柄，集生枝條末端。,分布菲律賓、臺灣、琉球，在台灣見於中南部低海拔山區。
2744,石松門,石松綱,石松目,石松科,石松屬,反捲葉石松,"地生，直立，植株高約8~25cm，部份小葉緊貼莖上，植株呈　節狀緊縮，小葉約1mm寬，明顯朝下反折。 　 小型地生蕨類，直立，小葉約1mm寬，明顯朝下反折。孢子囊黃色長於葉腋。於陰溼林下或溪旁偶可見之。常綠性，全年可見。",全省中海拔山區可見。
2745,石松門,石松綱,石松目,石松科,石松屬,垂枝石松,著生性，植株下垂，20~30cm長，孢子葉小，集生枝條末端。,分布舊世界熱帶，台灣在南北兩端低海拔地區有之。
2746,石松門,石松綱,石松目,石松科,石松屬,台灣石松,"著生性，植株下垂，10~25cm長。在近基部及有分枝，酷似叢生。孢子葉小於營養葉。 L. pulcherrimum Wall. 是喜馬拉雅山區的種類，其小葉較長，孢子葉和營養葉等大，和台灣的種類不同。",出現中高海拔山區。
2747,石松門,石松綱,石松目,石松科,石松屬,銳葉石松,著生性，下垂，植株長30cm以上，葉小，明顯呈弓形，孢子葉明顯小於營養葉。,分布於中國大陸、日本、琉球，臺灣則見於中海拔山區。
2748,石松門,石松綱,石松目,石松科,石松屬,寬葉石松,著生性，僅1~2次分枝，60~75cm長，小葉全緣，朝上，基部貼伏莖上，中段以上朝外45度，小葉往上漸小。,見於中海拔山區。
2749,石松門,石松綱,石松目,石松科,石松屬,日本石松,"地生，匍匐性，具分支，孢子囊穗有柄。 臺灣過去將本種及假石松（L. pseudoclavatum）都當作L. clavatum L.。本種和假石松最大的差異在於本種主要分佈在森林中，其小葉較密，孢子囊穗較小。 而日本石松和假石松都和林奈所指的L. clavatum L.不同。",分布溫帶及熱帶高山，在台灣可見於全省中高海拔開闊地。
2750,石松門,石松綱,石松目,石松科,石松屬,玉柏,"地生，直立，基部分支，形成叢狀，孢子囊穗多，無柄。  小型地生蕨類，基部分支，直立，葉狹披針形，密生，向上生長。孢子囊穗無柄，約於5月抽出，10月開始孢子飛散。性喜陽光，常出現於玉山箭竹草生地空隙，常綠性，全年可見。",分布北半球溫帶及熱帶高山，在台灣可見於中高海拔山區。
2751,石松門,石松綱,石松目,石松科,石松屬,福氏石松,著生性，二叉分支，幼枝直立，老枝下垂，植株長20~40cm，小葉無柄，朝上，往上漸小。,分布印度、中國大陸、琉球、日本，在臺灣低海拔山區可見，日前數量逐漸減少。
2752,石松門,石松綱,石松目,石松科,石松屬,石松,"地生，匍匐性，具分支， 孢子囊穗有柄。 臺灣過去將本種及日本石松(L. japonicum)都當作L. clavatum L.。本種和日本石松最大的差異在於本種主要分佈在箭竹原中，其小葉較疏鬆，孢子囊穗較大，且有分枝。而假石松和日本石松都和林奈所指的L. clavatum L.不同。   地生蕨類，匍匐性，具分枝。葉狹披針形，密生，幼葉具毛狀尾尖。孢子囊穗分枝多且具柄，約於6月抽出，10月開始孢子飛散。性喜陽光，主要分布於玉山箭竹草生地中，常綠性，全年可見。",分布中國大陸、印度等地，臺灣可見於中海拔山區。
2753,石松門,石松綱,石松目,石松科,石松屬,過山龍,"屬特徵-  　 　 孢子葉集生枝條末端，形成孢子囊穗。枝條末端彎曲向下，葉細針狀。 種特徵- 孢子葉集生枝條末端，形成孢子囊穗。枝條末端彎曲向下，葉細針狀。",分布熱帶及亞熱帶地區，全省低海拔林緣長見。
2754,石松門,石松綱,石松目,石松科,石松屬,木賊葉石松,攀緣性，孢子葉集生在枝條在末端，形成孢子囊穗。,分布熱帶亞洲至日本南部，臺灣中北部中海拔山區可見。
2755,石松門,石松綱,石松目,石松科,石松屬,覆葉石松,著生，老莖下垂，植株長約8cm，小葉向上，貼伏。,分布於熱帶亞洲，臺灣在低海拔山區可見之。
2756,石松門,石松綱,石松目,石松科,石松屬,多穗石松,"植株具腹背面，枝條明顯平面二叉分支。懸垂性，小葉三形，扁平枝腹背兩面之小葉不同，根莖在地表之上，分支稀。 本種過去都和玉山地刷(L. yueshanense)同被當作L. complanatm L.，但此二者和林奈所指的complanatm並不相同。",分布菲律賓、中國西南、越南等地，臺灣在全省中海拔山區可見。
2757,石松門,石松綱,石松目,石松科,石松屬,柳杉葉蔓石松,著生性，莖不分叉，小葉無柄2mm寬，15~18mm長，末端朝上，孢子葉和營養葉等大。,分布韓國、日本，在臺灣則見於北部中、低海拔山區。
2758,石松門,石松綱,石松目,石松科,石松屬,杉葉蔓石松,地生，直立，孢子囊穗無柄，小葉多少反捲。,分布範為在北半球溫帶地區，台灣中海拔山區可見。
2759,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,蘭嶼筆筒樹,耐蔭性小灌木，主莖高約1m。葉柄褐色，有硬凸起。三回羽狀複葉，老葉宿存，形成樹裙。每一條小脈中段上有一枚孢子囊群，孢膜球形。,分布菲律賓及臺灣的蘭嶼。
2760,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,韓氏桫欏,耐蔭性大型草本至小灌木，主莖不明顯，且為斜生，葉柄褐色。二至三回羽狀複葉，老葉宿存，形成樹裙。沒有孢膜，游離脈，一叉。羽片緣為銳鋸齒。羽軸小羽軸具帽形鱗片。,分布日本、琉球、香港，臺灣北部低海拔地區常見。
2761,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,筆筒樹,陽性喬木，葉柄綠色，三回羽狀複葉，老葉脫落，不形成樹裙。沒有孢膜，游離脈，一叉。,分布琉球、南中國、日本、菲律賓，以台灣為分佈中心，全省低海拔向陽潮濕地區常見。
2762,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,台灣桫欏,"耐蔭性喬木，葉柄褐色。三回深裂至三回羽狀複葉，老葉宿存，形成樹裙。 基部羽片較短，羽軸上有刺，每一條小脈中段上有一枚孢子囊群，孢膜薄、圓，羽軸兩側各一排。",分布尼泊爾、印度、中國大陸、日本、琉球，臺灣全島低海拔地區常見。
2763,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,台灣樹蕨,耐蔭性大型草本至小灌木，主莖不明顯，多在地下。幼葉葉柄綠色，成葉褐色。三回羽狀複葉，老葉宿存，形成樹裙。每一條小脈中段上有一枚孢子囊群。,分布日本、琉球、中國，臺灣低海拔地區常見。
2764,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,鬼桫欏,耐蔭性灌木，葉柄褐色，有短刺狀突起。二回羽狀複葉，老葉宿存，形成樹裙。沒有孢膜，游離脈，一叉。每一條脈上一枚孢子囊群。,分布琉球、南中國、越南、泰國，臺灣低海拔地區常見。
2765,蕨類植物門,真蕨綱,桫欏目,桫欏科,桫欏屬,南洋桫欏,耐蔭性喬木，葉柄褐色。三回深裂至三回羽狀複葉，葉軸和羽軸上有毛，羽軸小羽軸具帽形鱗片，下羽片漸縮，小羽片無柄，羽片邊緣反捲，脈單叉。,分布菲律賓、北婆羅洲，臺灣僅見於浸水營。
2766,蕨類植物門,真蕨綱,水龍骨目,三叉蕨科,肋毛蕨屬,白鱗肋毛蕨,,分布中國大陸、日本，臺灣過去曾有記錄，但未見到標本。
2767,蕨類植物門,真蕨綱,水龍骨目,三叉蕨科,肋毛蕨屬,玉山肋毛蕨,,見於中央山區高海拔地區。
2768,蕨類植物門,真蕨綱,水龍骨目,三叉蕨科,肋毛蕨屬,川上氏肋毛蕨,葉二回到三回中裂，幾乎所有羽片都深裂。,普遍存在高海拔天然林。
2769,蕨類植物門,真蕨綱,水龍骨目,槐葉蘋科,槐葉蘋屬,槐葉蘋,"科特徵- 　浮水之水生植物，根莖細長，無根。根莖每個節長出三片葉子，二枚浮水，沈水葉鬚根狀。浮水葉表面具突起，其上有毛，毛的形態是分類的特徵。孢子囊果單性，群生於沈水葉之基部。 種特徵- 浮水葉表面每一突起具四枚離生毛。",過去在全臺灣低海拔水域偶而可見，目前水域環境多遭污染或開發利用，已成為稀有植物。
2770,蕨類植物門,真蕨綱,水龍骨目,水蕨科,水蕨屬,水蕨,"科特徵- 　葉肉質，中空，有氣室。兩型葉，營養葉較孢子葉寬。具葉緣反捲之假孢膜。營養葉在裂片凹入處有芽體 種特徵- 葉肉質，中空，有氣室。兩型葉，營養葉較孢子葉寬。具葉緣反捲之假孢膜。營養葉在裂片凹入處有芽體。 水生至濕生，二型葉，肉質，二至三回羽狀複葉， 一年生挺水性草本植物，高15至60公分。葉肉質，兩型，營養葉較寬大，羽狀分裂，孢子葉線形，邊緣反捲，孢子囊群生於反捲葉緣內。",台灣低海拔山區至平地濕地。
2771,蕨類植物門,真蕨綱,水龍骨目,水龍骨科,星蕨屬,波氏星蕨,"長走莖，半著生於樹幹上，柄長1~5cm，葉橢圓形，15~35cm長，1.2~2cm寬，頂端漸尖，基部鈍尖，脈不明，全緣，孢子囊群小，散佈在中肋兩側。 走莖，常圍繞樹幹或林下之大石塊。單葉，紙質，全緣且常呈波浪狀，長15 ~ 35cm，寬1.2 ~ 3cm。無孢膜，孢子囊群圓形，不規則散布於葉軸中肋兩側。",低至中海拔森林內較潮濕的遮蔭環境，著生、岩生或地生。
2772,蕨類植物門,真蕨綱,水龍骨目,水龍骨科,水龍骨屬,栗柄水龍骨,"中小型多年生草本植物。根莖長橫走，上密覆鱗片。葉柄疏生，新鮮時綠色，乾後稻稈色；葉片一回羽狀深裂到複葉，長寬約15-35 × 3-8 公分，羽片邊緣有淺鋸齒，光滑無毛；葉脈游離或沿羽軸兩側各形成一列網格，網格中有游離小脈，孢子囊群通常長在此游離小脈的頂端。孢子囊群圓形到橢圓形，裸露，無孢膜。",台灣零星見於中部及南部的中海拔山區森林內或林緣，岩生，數量相當稀有。
2773,蕨類植物門,真蕨綱,水龍骨目,滿江紅科,滿江紅屬,滿江紅,"科特徵- 　漂浮性，葉二列互生，葉片裂成上下二瓣，上裂片浮水，可行光合作用，內有空腔；下裂片膜質，沈水。葉片含多種色素，秋冬之際溫度降低，葉綠素被破壞，植株呈紅色。植物體具根。孢子囊果單性，成對生長。 種特徵- 植株呈三角形，不超過1cm寬，葉至多0.1cm長。   一年生浮水性草本植物，植物體略呈三角形，長0.6至0.8公分，常成群生長。葉互生，長0.5至1.2公釐，葉片表面有許多乳頭狀小突起。春、夏季時氣候濕熱植物體呈翠綠色，冬季氣溫低植物體則轉變為紅色，故名滿江紅。",多見於台灣各地水田或高山湖泊。
2774,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,掃把蕨屬,假桫欏,小型樹蕨，樹高約1m，樹徑細，大約1~2cm，葉柄基部宿存。二形葉，二回深裂至二回羽狀複葉，羽軸上有三角形的翅。羽片向下縮小成三角形。,分布紐西蘭、印度、菲律賓，臺灣僅在浸水營出現。
2775,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,烏毛蕨屬,韓氏烏毛蕨,兩形葉，游離脈，羽片向下漸縮至基部，幾乎無柄。,分布於低海拔山區。
2776,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,烏毛蕨屬,烏毛蕨,短直立莖，叢生，成熟葉在外圍，上段朝外下彎。植株大型，1m以上，羽片基部不相連，下羽片急縮，幾乎無柄。孢子囊群沿羽軸生長。,分布熱帶亞洲、澳洲、太平洋群島，臺灣低海拔山區常見。
2777,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,烏毛蕨屬,雉尾烏毛蕨,長走莖，具暗褐色鱗片，植株小型，約在50cm以下，羽片基部相連，多少具翅，下羽片漸縮，柄長。孢子囊群沿羽軸生長。,分布印度、臺灣，全省中海拔山區可見。
2778,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,烏毛蕨屬,天長烏毛蕨,短走莖，葉兩形，革質，脈不明顯，羽片向下漸縮，具短柄，生活在石灰岩環境。,分布南中國及日本，在花蓮天長斷崖及清水山。
2779,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,狗脊蕨屬,生芽狗脊蕨,"短直立莖，二回羽裂，羽片線形。小羽片約裂至四分之三處，羽軸兩側之裂片等長，葉軸頂端有一不定芽。孢子囊群長條型，沿小羽軸兩側生長。   具短直立莖。二回羽裂，羽片線形。小羽片約裂至四分之三處，羽軸兩側之裂片等長，葉軸頂端有不定芽，故名之。孢子囊群為長條形，沿小羽軸兩側生長。",台灣分布在中海拔地區。
2780,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,狗脊蕨屬,哈氏狗脊蕨,橫走莖，營養葉小，披針形，孢子葉頂羽片長且具瓣裂，網脈，孢子囊群長條型，沿葉軸、羽軸、小羽軸兩側生長。,分布琉球、南中國、越南，臺灣僅見於烏來山區。
2781,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,狗脊蕨屬,日本狗脊蕨,短直立莖，二回羽裂，羽片線形、無柄。小羽片淺裂，約裂至二分之一處，羽軸兩側之裂片等長，孢子囊群長條型，沿羽軸、小羽軸兩側生長。羽片、小羽片上皆有孢子囊群。,分布韓國、日本、中國、越南，臺灣中海拔地區可見。
2782,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,狗脊蕨屬,細葉狗脊蕨,橫走莖，頂羽片及側羽片均瓣裂，網脈，孢子囊群長條型，沿葉軸、羽軸、小羽軸兩側生長。,分布日本、琉球、南中國，臺灣僅見於北部低海拔山區。
2783,蕨類植物門,真蕨綱,水龍骨目,烏毛蕨科,蘇鐵蕨屬,蘇鐵蕨,"屬種特徵- 　直立莖，具明顯、粗短的主幹。外型頗似蘇鐵，孢子葉和營養葉外形不同，羽片基部略呈心形。",分布於泰國、馬來亞、印尼、菲律賓、中國大陸，臺灣僅見於蕙蓀林場一帶。
2784,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,華中瘤足蕨,具小葉柄，葉背和葉面同色，頂羽片基部有1~2對裂片。,分布韓國、琉球、日本、中國大陸、菲律賓，臺灣見於中海拔地區。
2785,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,台灣瘤足蕨,"具小葉柄，葉背白色，頂羽片同側羽片。   中型地生蕨類，營養葉一回羽狀，葉背粉白色，孢子葉直立褐色，孢子囊堆著生     於內捲之小羽片背面。合歡山區生長於近水之山谷、山溝兩側或潮溼林下。",見於中海拔地區。
2786,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,瘤足蕨,不具小葉柄，葉背和葉面同色，頂羽片羽裂、漸縮，羽片卵圓形至圓形。,"P. parva DeVol之Type係中村泰造1940年在花蓮木瓜山採的(4487)，未找到本種之原始發表。"
2787,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,華東瘤足蕨,不具小葉柄，葉背和葉面同色，頂羽片基部有1~2對裂片。,分布中國大陸、韓國、日本、琉球、北印度，臺灣見於中海拔地區。
2788,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,耳形瘤足蕨,不具小葉柄，葉背和葉面同色，頂羽片羽裂、漸縮，基羽片漸縮成耳狀。,分布日本、琉球、中國、越南、菲律賓，臺灣見於中海拔地區。
2789,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,倒葉瘤足蕨,不具小葉柄，葉背和葉面同色，頂羽片羽裂、漸縮。,分布中國及臺灣，臺灣見於中海拔地區。
2790,蕨類植物門,真蕨綱,水龍骨目,瘤足蕨科,瘤足蕨屬,小泉氏瘤足蕨,具小葉柄，葉背和葉面同色，頂羽片基部有1~2對裂片，羽片突尖。,分布琉球及臺灣，本島僅見於南投清水溝。
2791,蕨類植物門,真蕨綱,水龍骨目,碗蕨科,稀子蕨屬,稀子蕨,"不定芽位在葉軸近軸面，最末裂片細小。 具直立短莖。葉為三至四回羽狀複葉。孢子囊位於葉邊緣脈末端而不具孢膜。本種植物最具特色的地方在葉軸之邊軸面會長出一至數個褐銹色小拳頭狀不定芽，極易於辨認。",台灣分布中海拔山區。
2792,蕨類植物門,真蕨綱,水龍骨目,碗蕨科,稀子蕨屬,岩穴蕨,"羽軸末端延長，不定芽位在羽軸末端，羽片具耳狀突起。    莖短，直立。葉叢生，一回羽狀複葉，游離脈，孢子囊位於葉邊緣脈末端，不具孢膜。羽軸末端延長，生長不定芽，羽片基部具耳狀突起。",分布日本、中國及臺灣。臺灣產於中海拔山區。新竹縣可見於觀霧附近。
2793,蕨類植物門,真蕨綱,水龍骨目,碗蕨科,鱗蓋蕨屬,邊緣鱗蓋蕨,"一回羽狀複葉，羽片淺裂至深裂。不具頂羽片，羽片基部兩側不對稱，上側具耳狀突起，下側截形，側脈多次分叉。孢膜有毛，亞邊緣生，開口朝向羽片尖端，羽片遠軸面有毛。一回羽狀複葉，羽片淺裂至深裂。不具頂羽片，羽片基部兩側不對稱，上側具耳狀突起，下側截形，側脈多次分叉。孢膜有毛，亞邊緣生，開口朝向羽片尖端，羽片遠軸面有毛。 長走莖。1回羽狀複葉，革質，羽片淺裂，漸尖，不具頂羽片，羽片基部兩側不對稱，上側具耳形突起，類似耳蕨，下側截形，葉柄及羽葉上下表面都密被毛。孢子著生於葉緣，開口朝外，孢膜有毛。長走莖。1回羽狀複葉",中、低海拔森林邊緣或林內，半遮蔭至全遮蔭的環境可見，地生。中、低海拔森林邊緣或林內，半遮蔭至全遮蔭的環境可見，地生。
2794,蕨類植物門,真蕨綱,水龍骨目,碗蕨科,鱗蓋蕨屬,團羽鱗蓋蕨,"孢膜半圓形至杯狀，葉薄草質，羽片邊緣圓鈍，最末裂片孢膜多數。葉二~三回。羽軸和葉軸及小羽片和羽軸斜交。羽片近軸面無毛。孢膜無毛，亞邊緣生，開口朝向小羽片末端，末裂片周緣圓齒。 走莖。2 ~ 3回羽狀複葉，紙質，羽片邊緣圓鈍，羽片裂至羽軸，小羽片具柄。孢子著生於葉緣，開口朝外，孢膜無毛，袋形。",中、低海拔森林邊緣，半遮蔭環境可見，地生。
2795,蕨類植物門,真蕨綱,水龍骨目,碗蕨科,鱗蓋蕨屬,熱帶鱗蓋蕨,"三回羽狀複葉至四回羽狀裂葉，脈未突起。最末裂片鋸齒緣。羽片遠軸面毛少。 孢膜無毛，邊緣生，開口朝向三回羽片末端。  走莖，葉柄基部褐色。3 ~ 4回羽狀複葉，紙質。孢子著生於葉緣，孢膜碗形，無毛，開口朝外。",平地至低海拔森林邊緣，開闊地或半遮蔭環境可見，地生。
2796,蕨類植物門,真蕨綱,水龍骨目,禾葉蕨科,蒿蕨屬,蒿蕨,"短走莖，鱗片栗褐色，全緣，柄2 ～ 5 cm長，具紅褐色毛，葉10 ～ 20 cm長，2 ～ 3 cm寬，一回羽狀複葉，羽片全緣，下段羽片短縮成瓣狀，最長的羽片在中段，每一羽片有數枚孢子囊群，孢子囊群下陷於葉肉中，卵圓形。 基部羽片短縮至走莖，似乎不具葉柄。根莖短，多長於苔蘚叢中。",中海拔霧林帶遮蔭的森林內，岩生或著生。
2797,蕨類植物門,真蕨綱,水龍骨目,禾葉蕨科,蒿蕨屬,細葉蒿蕨,"根莖短，具褐色，全緣之鱗片。柄有毛，羽片二回深裂，12 ～ 20 cm長，2.5 ～ 3.5 cm寬，兩寬尖，基部羽片短縮，小羽片線形僅具一脈，孢子囊群在小羽片基部，單一。",中海拔潮濕的森林內，岩生或著生。
2798,蕨類植物門,真蕨綱,水龍骨目,禾葉蕨科,革舌蕨屬,革舌蕨,"屬特徵- 　植株很小，多生長在樹幹上蘚苔叢中。葉窄，厚，長條形，不具關節。表面看不到脈，有少許星毛，孢子囊在葉緣偏內側的溝中。 種特徵- 植株叢生，厚肉質，約2~10cm長，頂端圓鈍，孢子囊群2長條形，位於葉緣內側的下陷溝中。",分布於熱帶亞洲。
2799,蕨類植物門,真蕨綱,水龍骨目,紫萁科,紫萁屬,絨假紫萁,"落葉性，羽片和主軸之間具有關節，二回羽狀深裂，小羽片全緣，長孢子的葉子是在葉子基部的數對羽片，孢子葉上不具孢子囊之羽片，其外觀和營養葉的羽片同。 多年生中型地生蕨，全株黃綠色，葉二回羽狀深裂，小羽片全緣，孢子囊著生於孢子葉基部的數對羽片。性嗜強光，為高山草生地之伴生種，合歡山區6~9月於合歡東峰山坡下方較為常見。",臺灣高海拔地區芒草原中零星可見。
